"phrase" "start" "destination"
"Je souhaite me rendre à Brest en partant de Chalon-sur-Saône" "Chalon-sur-Saône" "Brest"
"J'aimerais visiter Saint-Médard-en-Jalles en partant de Bezons" "Bezons" "Saint-Médard-en-Jalles"
"Je souhaite aller à Saint-Martin-d'Hères en provenance de Rueil-Malmaison" "Rueil-Malmaison" "Saint-Martin-d'Hères"
"Je souhaite aller vers Lyon à partir de Douai" "Douai" "Lyon"
"Je souhaite aller vers La Roche-sur-Yon en provenance de Cordes sur Ciel" "Cordes sur Ciel" "La Roche-sur-Yon"
"Je souhaite découvrir Haguenau en provenance de Bayonne" "Bayonne" "Haguenau"
"Je souhaite découvrir Chalon-sur-Saône depuis Cannes" "Cannes" "Chalon-sur-Saône"
"J'aimerais me rendre à Le Port en passant par Palaiseau" "Palaiseau" "Le Port"
"Je souhaite me rendre à Montrouge depuis Saint-Nazaire" "Saint-Nazaire" "Montrouge"
"Je souhaite visiter Grasse en passant par Nancy" "Nancy" "Grasse"
"Je souhaite me rendre à Bastia à partir de Alès" "Alès" "Bastia"
"J'aimerais aller à Vitry-sur-Seine en partant de Montauban" "Montauban" "Vitry-sur-Seine"
"Je souhaite découvrir Annemasse en provenance de Villeurbanne" "Villeurbanne" "Annemasse"
"J'aimerais me rendre à La Ciotat à partir de Angers" "Angers" "La Ciotat"
"J'aimerais aller vers Beauvais depuis Franconville" "Franconville" "Beauvais"
"Je souhaite découvrir Nancy depuis Bobigny" "Bobigny" "Nancy"
"Je souhaite arriver à Troyes à partir de Fort-de-France" "Fort-de-France" "Troyes"
"Je souhaite découvrir Joué-lès-Tours depuis Gennevilliers" "Gennevilliers" "Joué-lès-Tours"
"J'aimerais arriver à Saint-Malo en passant par Plaisir" "Plaisir" "Saint-Malo"
"J'aimerais atterrir à Saint-Médard-en-Jalles depuis Villeneuve-d'Ascq" "Villeneuve-d'Ascq" "Saint-Médard-en-Jalles"
"J'aimerais découvrir Blois en provenance de Chelles" "Chelles" "Blois"
"Je souhaite arriver à Annemasse en provenance de Le Lamentin" "Le Lamentin" "Annemasse"
"Je souhaite visiter Strasbourg à partir de Alès" "Alès" "Strasbourg"
"J'aimerais voyager à Courbevoie à partir de Rosny-sous-Bois" "Rosny-sous-Bois" "Courbevoie"
"Je souhaite voyager à Vaulx-en-Velin en provenance de Belfort" "Belfort" "Vaulx-en-Velin"
"Je souhaite aller à Nîmes en partant de Pantin" "Pantin" "Nîmes"
"Je souhaite aller à Cagnes-sur-Mer en provenance de Bagnolet" "Bagnolet" "Cagnes-sur-Mer"
"J'aimerais découvrir Laval en passant par Le Tampon" "Le Tampon" "Laval"
"J'aimerais me rendre à Cachan à partir de La Ciotat" "La Ciotat" "Cachan"
"Je souhaite arriver à Évreux depuis Saint-Laurent-du-Maroni" "Saint-Laurent-du-Maroni" "Évreux"
"Je souhaite visiter Montpellier depuis Conflans-Sainte-Honorine" "Conflans-Sainte-Honorine" "Montpellier"
"J'aimerais visiter Dijon en partant de Wattrelos" "Wattrelos" "Dijon"
"Je souhaite voyager à Cachan en partant de Blois" "Blois" "Cachan"
"J'aimerais atterrir à Évreux en provenance de Savigny-sur-Orge" "Savigny-sur-Orge" "Évreux"
"Je souhaite aller à Saint-Médard-en-Jalles à partir de Montrouge" "Montrouge" "Saint-Médard-en-Jalles"
"J'aimerais découvrir Colombes en partant de Montluçon" "Montluçon" "Colombes"
"Je souhaite voyager à Lorient à partir de Stains" "Stains" "Lorient"
"Je souhaite aller à Montélimar en provenance de Bastia" "Bastia" "Montélimar"
"Je souhaite aller vers Montélimar en partant de Bastia" "Bastia" "Montélimar"
"J'aimerais aller vers Istres depuis Échirolles" "Échirolles" "Istres"
"J'aimerais aller vers Sète depuis Angoulême" "Angoulême" "Sète"
"J'aimerais me rendre à Le Perreux-sur-Marne en partant de Bondy" "Bondy" "Le Perreux-sur-Marne"
"Je souhaite découvrir Charleville-Mézières en passant par La Roche-sur-Yon" "La Roche-sur-Yon" "Charleville-Mézières"
"Je souhaite visiter Compiègne à partir de Herblay-sur-Seine" "Herblay-sur-Seine" "Compiègne"
"Je souhaite arriver à Le Havre depuis Vénissieux" "Vénissieux" "Le Havre"
"J'aimerais visiter Créteil à partir de Bordeaux" "Bordeaux" "Créteil"
"Je souhaite découvrir Vitry-sur-Seine en provenance de Saint-Louis" "Saint-Louis" "Vitry-sur-Seine"
"J'aimerais atterrir à Roanne en passant par Sainte-Geneviève-des-Bois" "Sainte-Geneviève-des-Bois" "Roanne"
"Je souhaite aller vers Hyères en partant de Cambrai" "Cambrai" "Hyères"
"Je ne trouve pas de train en direction de Bagnolet en partant de Belfort" "Belfort" "Bagnolet"
"Je souhaite me rendre à Vigneux-sur-Seine en partant de Brive-la-Gaillarde" "Brive-la-Gaillarde" "Vigneux-sur-Seine"
"Je ne trouve pas de train en direction de Échirolles en partant de Goussainville" "Goussainville" "Échirolles"
"J'aimerais aller à Pontoise depuis Annecy" "Annecy" "Pontoise"
"J'aimerais visiter Saint-Denis à partir de Avignon" "Avignon" "Saint-Denis"
"Je souhaite visiter Troyes en passant par Béziers" "Béziers" "Troyes"
"J'aimerais arriver à Thonon-les-Bains à partir de L'Haÿ-les-Roses" "L'Haÿ-les-Roses" "Thonon-les-Bains"
"Je souhaite me rendre à Rennes à partir de Antibes" "Antibes" "Rennes"
"J'aimerais arriver à Paris à partir de Saint-Denis" "Saint-Denis" "Paris"
"J'aimerais découvrir Agen en provenance de Les Mureaux" "Les Mureaux" "Agen"
"J'aimerais aller à Boulogne-Billancourt en provenance de Belfort" "Belfort" "Boulogne-Billancourt"
"Je souhaite visiter Meudon en passant par Nogent-sur-Marne" "Nogent-sur-Marne" "Meudon"
"J'aimerais aller vers Neuilly-sur-Seine en partant de Saint-Nazaire" "Saint-Nazaire" "Neuilly-sur-Seine"
"Je souhaite arriver à La Rochelle à partir de Grasse" "Grasse" "La Rochelle"
"J'aimerais aller à Blois à partir de Bourges" "Bourges" "Blois"
"J'aimerais visiter Chelles depuis Pau" "Pau" "Chelles"
"Je souhaite aller vers Châtillon depuis Compiègne" "Compiègne" "Châtillon"
